ETH,LTC,XRP,reversed_USDT,ETC,DASH,XMR,XEM,FCT,GNT,ZEC
0.22737378,0.10060249,0.09799726,0.32194516,0.19470988,0.15674171,0.28328174,0.17087327,0.17871161,0.19052584,0.07723722
0.30569026,0.09680112,0.03265364,0.29468063,0.2753098,0.17082609,0.21220312,0.16523811,0.16339497,0.19860898,0.08459344
0.25782526,0.09925764,0.02916202,0.3029424,0.20533754,0.24847174,0.24104902,0.14660938,0.1287978,0.20632453,0.13422234
0.26547053,0.09454907,0.01891003,0.3107699,0.26267463,0.2658683,0.23521449,0.03326196,0.09603305,0.2459635,0.17128432
0.2101457,0.12539521,0.0351733,0.28937587,0.31495142,0.27525306,0.21064974,0.0201758,0.14137742,0.2550491,0.12245329
0.17427519,0.11218107,0.03289489,0.29264644,0.25837487,0.34610337,0.20311199,0.0351059,0.23562616,0.13189602,0.17778365
0.13443995,0.14282098,0.06509131,0.2972237,0.22868395,0.32158637,0.24001324,0.02910825,0.14829323,0.12422118,0.26851767
0.1417359,0.13565378,0.09011911,0.3005486,0.22192873,0.21859601,0.25456196,0.01724805,0.16243221,0.09806042,0.35911524
0.16806184,0.03244422,0.11458657,0.29793292,0.25626028,0.22810352,0.22658063,0.02642787,0.10571785,0.06151372,0.48237044
0.19428904,0.01176208,0.09075265,0.25936934,0.20293275,0.19923478,0.19646496,0.04430521,0.14545946,0.09908222,0.55634737
0.16581917,0.03345455,0.06233133,0.29947332,0.21921302,0.14523739,0.18844578,0.05857464,0.1283467,0.07430235,0.6248015
0.23200686,0.02303831,0.02773121,0.30725366,0.23093447,0.1543487,0.15622503,0.17662781,0.10127417,0.14832757,0.4422318
0.14698067,0.04165763,0.00531538,0.31454563,0.2969901,0.15862086,0.17492147,0.29368857,0.09840392,0.11470602,0.35416955
0.13957682,0.03665516,0.02271746,0.3322205,0.2700743,0.2373041,0.22788301,0.17297417,0.17949216,0.14636038,0.23474173
0.08050464,0.0488359,0.06557664,0.22045308,0.18558276,0.2773161,0.22648346,0.0994644,0.45832932,0.13629651,0.20115714
0.06195598,0.21694003,0.26288825,0.09961151,0.16816442,0.20372984,0.18152416,0.1648873,0.2921113,0.134416,0.21377109
0.10023259,0.23532759,0.25446823,0.11643896,0.17777422,0.1983124,0.17234808,0.14386769,0.20800489,0.14739603,0.24582937
0.12313423,0.3080234,0.18250374,0.05107938,0.17338367,0.2368134,0.20303726,0.06659313,0.21269521,0.2614375,0.18129914
0.13934906,0.19523558,0.21203175,0.07792866,0.18062505,0.17311998,0.27072346,0.10220052,0.16765352,0.29093513,0.19019748
0.13387744,0.11719012,0.37664923,0.10084978,0.14890084,0.1741199,0.32315168,0.13176367,0.14271963,0.17228906,0.17848888
0.13979524,0.11535159,0.10111549,0.15121324,0.17830157,0.263378,0.27022463,0.15497404,0.1586561,0.2661966,0.2007936
0.04293431,0.0955099,0.05851357,0.20460442,0.17441028,0.36511013,0.2874843,0.16822982,0.19684197,0.21634741,0.19001369
0.04120452,0.09901546,0.02740058,0.25893915,0.19485413,0.25901717,0.32899094,0.11523078,0.24344623,0.25515914,0.17674156
0.07123907,0.16576128,0.044871,0.35589522,0.08200865,0.3190285,0.22024986,0.10219932,0.12096952,0.30933276,0.20844448
0.09541772,0.09179612,0.04554129,0.45411462,0.08344369,0.28833973,0.1817461,0.08333315,0.14358445,0.30815557,0.2245275
0.1027372,0.08090758,0.06594975,0.39976844,0.06592058,0.28648797,0.19806248,0.04667235,0.15155451,0.39959008,0.20234871
