date;Leverage;No leverage;datealt;CRIX
02/10/2018;0.951333;0.852831;;
02/10/2018;0.951333;0.852999;;
02/10/2018;0.951333;0.850986;;
02/10/2018;0.951333;0.8491;;
02/10/2018;0.951333;0.847564;;
02/10/2018;0.951333;0.849035;;
02/10/2018;0.951333;0.848445;;
02/10/2018;0.951333;0.848392;;
02/10/2018;0.951333;0.848591;;
02/10/2018;0.951333;0.849996;;
02/10/2018;0.951333;0.852268;;
02/10/2018;0.951333;0.850862;;
02/10/2018;0.951333;0.850866;;
02/10/2018;0.951333;0.85069;;
02/10/2018;0.951333;0.851371;;
02/10/2018;0.951333;0.85092;;
02/10/2018;0.951333;0.850022;;
02/10/2018;0.951333;0.849315;;
02/10/2018;0.951333;0.849211;;
02/10/2018;0.951333;0.847458;;
02/10/2018;0.951333;0.847064;;
02/10/2018;0.951333;0.847795;;
02/10/2018;0.951333;0.847135;;
02/10/2018;0.951333;0.847451;;
02/10/2018;0.951333;0.843733;;
02/10/2018;0.951333;0.843214;;
02/10/2018;0.951331;0.842828;;
02/10/2018;0.951331;0.842889;;
02/10/2018;0.951331;0.841321;;
02/10/2018;0.951331;0.8435;;
02/10/2018;0.951331;0.843175;;
02/10/2018;0.951331;0.842637;;
02/10/2018;0.951331;0.844561;;
02/10/2018;0.951331;0.843849;;
02/10/2018;0.95133;0.842457;;
03/10/2018;0.95133;0.841625;;
03/10/2018;0.95133;0.84305;;
03/10/2018;0.95133;0.843383;;
03/10/2018;0.951329;0.840511;;
03/10/2018;0.951329;0.839215;;
03/10/2018;0.951331;0.841925;;
03/10/2018;0.951332;0.842001;;
03/10/2018;0.951331;0.841653;;
03/10/2018;0.95133;0.841735;;
03/10/2018;0.951329;0.83957;;
03/10/2018;0.951329;0.837739;;
03/10/2018;0.951327;0.838126;;
03/10/2018;0.951326;0.836542;;
03/10/2018;0.951325;0.837045;;
03/10/2018;0.951324;0.835533;;
03/10/2018;0.951322;0.830994;;
03/10/2018;0.951299;0.814868;;
03/10/2018;0.951296;0.813638;;
03/10/2018;0.951304;0.821701;;
03/10/2018;0.951304;0.824981;;
03/10/2018;0.951303;0.822485;;
03/10/2018;0.951301;0.82297;;
03/10/2018;0.951289;0.811927;;
03/10/2018;0.951288;0.819521;;
03/10/2018;0.951286;0.811651;;
03/10/2018;0.951286;0.815328;;
03/10/2018;0.951285;0.81886;;
03/10/2018;0.951285;0.818311;;
03/10/2018;0.951285;0.819913;;
03/10/2018;0.951285;0.819493;;
03/10/2018;0.951285;0.816858;;
03/10/2018;0.951285;0.816631;;
03/10/2018;0.951285;0.815516;;
