date;0.1MDD;0.4MDD;0.5MDD;datealt;CRIX
10/05/2017;2.405326;2.837553;3.548253;;
10/05/2017;2.409452;2.845865;3.557484;;
10/05/2017;2.435341;2.887567;3.614612;;
10/05/2017;2.443797;2.900537;3.632883;;
10/05/2017;2.42585;2.856195;3.581431;;
10/05/2017;2.422043;2.873478;3.60031;;
10/05/2017;2.422691;2.836925;3.58128;;
10/05/2017;2.431603;2.868224;3.620164;;
10/05/2017;2.438781;2.861893;3.620968;;
10/05/2017;2.453323;2.893673;3.665547;;
10/05/2017;2.460057;2.902574;3.68871;;
10/05/2017;2.437094;2.857795;3.618161;;
10/05/2017;2.44321;2.866807;3.625755;;
10/05/2017;2.462663;2.895649;3.667374;;
10/05/2017;2.446761;2.849514;3.603853;;
10/05/2017;2.439218;2.833844;3.584329;;
10/05/2017;2.302406;2.547964;3.243527;;
10/05/2017;2.376088;2.663854;3.361927;;
10/05/2017;2.366794;2.644858;3.344873;;
10/05/2017;2.353389;2.611641;3.302412;;
10/05/2017;2.391543;2.744894;3.492087;;
10/05/2017;2.369112;2.681151;3.413434;;
10/05/2017;2.369525;2.666932;3.378621;;
10/05/2017;2.401846;2.732794;3.477751;;
10/05/2017;2.438849;2.828241;3.643111;;
10/05/2017;2.404282;2.731382;3.520557;;
10/05/2017;2.529472;2.993911;3.872394;;
10/05/2017;2.512002;2.940394;3.79568;;
10/05/2017;2.490275;2.90841;3.754818;;
10/05/2017;2.513714;2.911553;3.779645;;
10/05/2017;2.49293;2.865534;3.712243;;
10/05/2017;2.493226;2.846212;3.708361;;
10/05/2017;2.553534;2.916629;3.812306;;
10/05/2017;2.545766;2.905596;3.794806;;
10/05/2017;2.545097;2.902582;3.805701;;
10/05/2017;2.551987;2.921167;3.830352;;
10/05/2017;2.546765;2.91401;3.820692;;
10/05/2017;2.543605;2.903789;3.808959;;
10/05/2017;2.595874;2.979667;3.920061;;
10/05/2017;2.603401;2.987207;3.931789;;
11/05/2017;2.607091;2.982585;3.933741;;
11/05/2017;2.555358;2.892147;3.82989;;
11/05/2017;2.617332;3.018482;4.002617;;
11/05/2017;2.599992;2.971263;3.941387;;
11/05/2017;2.584792;2.936512;3.875351;;
11/05/2017;2.501233;2.832055;3.672999;;
11/05/2017;2.58636;2.883334;3.872965;;
11/05/2017;2.503569;2.74137;3.651372;;
11/05/2017;2.460888;2.652851;3.570271;;
11/05/2017;2.501822;2.688304;3.695229;;
11/05/2017;2.541449;2.760144;3.796181;;
11/05/2017;2.548503;2.769139;3.815219;;
11/05/2017;2.51795;2.699784;3.719484;;
11/05/2017;2.509666;2.68038;3.698521;;
11/05/2017;2.51223;2.679257;3.697754;;
11/05/2017;2.549091;2.745866;3.784591;;
11/05/2017;2.555494;2.747243;3.78673;;
11/05/2017;2.540094;2.722202;3.746445;;
11/05/2017;2.549724;2.741737;3.772857;;
11/05/2017;2.565941;2.772107;3.815161;;
11/05/2017;2.598504;2.838931;3.905066;;
11/05/2017;2.585301;2.804233;3.857516;;
11/05/2017;2.582766;2.796659;3.853842;;
11/05/2017;2.602911;2.839366;3.907123;;
11/05/2017;2.600671;2.846521;3.907121;;
11/05/2017;2.606879;2.86213;3.930519;;
11/05/2017;2.608899;2.869653;3.93498;;
11/05/2017;2.603723;2.856804;3.914811;;
11/05/2017;2.573834;2.796039;3.831289;;
11/05/2017;2.568319;2.785333;3.813769;;
11/05/2017;2.544484;2.740564;3.756893;;
11/05/2017;2.551143;2.748814;3.768793;;
11/05/2017;2.545529;2.727708;3.741273;;
11/05/2017;2.568593;2.777044;3.814456;;
11/05/2017;2.581473;2.793874;3.839429;;
11/05/2017;2.580192;2.794835;3.840412;;
11/05/2017;2.59718;2.818412;3.874375;;
11/05/2017;2.561883;2.755051;3.782853;;
11/05/2017;2.568662;2.77833;3.799814;;
11/05/2017;2.587465;2.814151;3.839136;;
11/05/2017;2.606225;2.860317;3.90226;;
11/05/2017;2.587449;2.811991;3.840279;;
11/05/2017;2.586319;2.813387;3.844705;;
11/05/2017;2.582076;2.808062;3.82902;;
11/05/2017;2.572515;2.786752;3.801055;;
11/05/2017;2.585761;2.813549;3.836992;;
11/05/2017;2.586922;2.812091;3.839631;;
11/05/2017;2.608302;2.860664;3.902524;;
12/05/2017;2.613037;2.871851;3.918031;;
12/05/2017;2.6131;2.869677;3.915353;;
12/05/2017;2.622524;2.883999;3.934261;;
12/05/2017;2.640182;2.914673;3.976052;;
12/05/2017;2.677571;2.983014;4.071366;;
12/05/2017;2.689941;3.001658;4.092635;;
12/05/2017;2.715185;3.031256;4.13831;;
12/05/2017;2.76032;3.106438;4.23709;;
12/05/2017;2.766708;3.122131;4.252543;;
12/05/2017;2.776704;3.143543;4.280061;;
12/05/2017;2.710215;3.028274;4.12381;;
12/05/2017;2.72235;3.050512;4.156425;;
12/05/2017;2.731374;3.068296;4.176014;;
12/05/2017;2.743522;3.091239;4.208397;;
12/05/2017;2.728288;3.062532;4.169059;;
12/05/2017;2.729986;3.066614;4.174393;;
12/05/2017;2.684833;2.974595;4.047887;;
12/05/2017;2.6946;2.991951;4.074515;;
12/05/2017;2.689262;2.982533;4.068451;;
12/05/2017;2.703885;3.013064;4.106751;;
12/05/2017;2.697351;2.995062;4.081703;;
12/05/2017;2.687816;2.985618;4.078416;;
12/05/2017;2.714674;3.041443;4.154173;;
12/05/2017;2.717399;3.046107;4.160809;;
12/05/2017;2.719105;3.053771;4.178245;;
12/05/2017;2.726322;3.07483;4.207353;;
12/05/2017;2.72409;3.076514;4.207636;;
12/05/2017;2.732338;3.087864;4.224412;;
12/05/2017;2.727041;3.085368;4.219883;;
12/05/2017;2.758564;3.151322;4.308348;;
12/05/2017;2.759821;3.157961;4.319036;;
12/05/2017;2.73191;3.109438;4.243367;;
12/05/2017;2.775698;3.173404;4.348959;;
12/05/2017;2.774296;3.178544;4.353993;;
12/05/2017;2.768593;3.165308;4.339235;;
12/05/2017;2.779437;3.189214;4.378447;;
12/05/2017;2.798706;3.230448;4.439;;
12/05/2017;2.778486;3.21244;4.414823;;
12/05/2017;2.777091;3.19624;4.387436;;
12/05/2017;2.819113;3.269508;4.509144;;
12/05/2017;2.844325;3.313244;4.560083;;
12/05/2017;2.797998;3.237544;4.461735;;
12/05/2017;2.807349;3.260646;4.491836;;
12/05/2017;2.786728;3.22551;4.443589;;
12/05/2017;2.789372;3.230271;4.448638;;
12/05/2017;2.79002;3.236606;4.460323;;
12/05/2017;2.808279;3.25527;4.490011;;
12/05/2017;2.809426;3.264047;4.497344;;
13/05/2017;2.812559;3.27287;4.509218;;
13/05/2017;2.821484;3.290662;4.537256;;
13/05/2017;2.787213;3.222403;4.445814;;
13/05/2017;2.800945;3.248908;4.461384;;
13/05/2017;2.777704;3.217253;4.413945;;
13/05/2017;2.788646;3.229654;4.434605;;
13/05/2017;2.799823;3.260992;4.47692;;
13/05/2017;2.795705;3.238311;4.457394;;
13/05/2017;2.792978;3.221587;4.431089;;
13/05/2017;2.782057;3.197024;4.396371;;
13/05/2017;2.789565;3.217946;4.429877;;
13/05/2017;2.793772;3.230333;4.453144;;
13/05/2017;2.808608;3.263426;4.495083;;
13/05/2017;2.794305;3.226032;4.438402;;
13/05/2017;2.804709;3.246814;4.468057;;
13/05/2017;2.796743;3.230123;4.44037;;
13/05/2017;2.784022;3.213862;4.414898;;
13/05/2017;2.787692;3.22169;4.423369;;
13/05/2017;2.777935;3.204796;4.396214;;
13/05/2017;2.762753;3.177906;4.357563;;
13/05/2017;2.76336;3.185094;4.367942;;
13/05/2017;2.762923;3.186247;4.376541;;
13/05/2017;2.745178;3.151427;4.328554;;
13/05/2017;2.6718;3.090417;4.216959;;
13/05/2017;2.807841;3.280442;4.536119;;
